"category","region","source","unit_layer","act_fun","drop_rate","opt_fun","layers","mae_fold_mean","mae_fold_sd","rmse_fold_mean","rmse_fold_sd","n_folds_used"
"brown","NE","Freire",32,"tanh",0.3,"adam",2,192.5,58.5961342187807,233.062888188258,28.1693284894843,3
"brown","NE","Silva",16,"tanh",0.3,"adam",4,49,34.1641471203592,61.3351934636782,44.0531690263223,3
"brown","N","Freire",32,"relu",0.3,"adam",2,278.3,203.140552356147,327.988939757139,274.859344971245,3
"brown","N","Silva",16,"tanh",0.2,"rmsprop",3,250.7,108.104290584564,278.994754224087,112.567842180201,3
"pink","SE","Silva",16,"relu",0.2,"rmsprop",2,195.7,155.44648528719,220.302568655847,175.160469184991,3
"pink","S","Freire",32,"relu",0.2,"adam",4,667,374.321893881473,784.332577589584,459.017720060772,3
"pink","S","Silva",64,"tanh",0.3,"rmsprop",3,484.6,387.252261255593,669.553578959226,638.561393834716,3
"seabob","NE","Freire",16,"tanh",0.2,"adam",3,551.1,273.133784160488,593.135300380076,280.013149660119,3
"seabob","NE","Silva",64,"tanh",0.2,"rmsprop",4,455.1,186.811209216686,485.519972252633,191.513045660572,3
"seabob","N","Freire",32,"relu",0.2,"adam",4,99.4,98.5489744066653,100.87734589849,99.4392036207893,3
"seabob","N","Silva",64,"tanh",0.2,"adam",4,220.9,112.433703033642,273.029985660113,131.612351697965,3
"seabob","SE","Freire",64,"relu",0.2,"rmsprop",3,695.8,78.5002590892936,775.105686492779,45.6115200630793,3
"seabob","SE","Silva",64,"tanh",0.3,"rmsprop",4,582.3,316.445226681796,713.355806398959,429.629921491016,3
"seabob","S","Freire",16,"relu",0.3,"adam",3,295.8,124.667453686256,381.802814697673,159.733552272371,3
"seabob","S","Silva",32,"tanh",0.3,"adam",3,1017.6,852.827118619021,1110.04389334392,871.613505047908,3
"white","NE","Freire",16,"relu",0.3,"adam",3,526,370.346230273454,541.828355902059,358.790619660556,3
"white","NE","Silva",64,"tanh",0.2,"adam",4,211.7,187.072129018335,302.486004843249,265.51739026477,3
"white","N","Freire",64,"tanh",0.3,"rmsprop",4,90.4,50.563142805533,95.2271575096625,43.5678388901039,3
"white","N","Silva",32,"relu",0.3,"rmsprop",4,110.9,112.205681348634,131.609844961327,134.409121555854,3
"white","SE","Freire",64,"tanh",0.3,"rmsprop",3,80.5,34.5988190772892,95.9405562432127,36.7365775107031,3
"white","SE","Silva",64,"tanh",0.3,"rmsprop",3,121,97.4137038465559,142.128011600075,121.779319742676,3
"white","S","Freire",32,"relu",0.3,"adam",2,26.2,6.46259042385758,33.3585520926447,9.62968472969149,3
"white","S","Silva",32,"relu",0.2,"adam",4,39.1,19.6741870161158,47.5729435156259,23.1771321697722,3
