"stock","name","region","scenario","source","bk_method","r_method","priorrlw","priorr","priorrup","postrlw","postr","postrup","priorklw","priork","priorkup","postklw","postk","postkup","priorbklw","priorbk","priorbkup","postbklw","postbk","postbkup","priormsylw","priormsy","priormsyup","postmsylw","postmsy","postmsyup","fmsylw","fmsy","fmsyup","bmsylw","bmsy","bmsyup","ctlast","ctavg5","ffmsylw","ffmsy","ffmsyup","bbmsylw","bbmsy","bbmsyup","PPVRr","RUr","OVLr","BCr","PPVRbk","RUbk","OVLbk","BCbk","viab_rate","mean.log.r","sd.log.r","mean.log.k","sd.log.k"
"white_SE_Freire_Projection","white","SE","Projection","Freire",NA,NA,0.09,0.14022189486906,0.21,0.07,0.0981052474623209,0.13,21,47.1299411919912,91,36.65,56.0344359742998,80.97,0.03,0.134553030119768,0.24,0.1,0.218175593829464,0.35,1.2,1.5033768,1.8,0.86,1.25,2.03,0.04,0.05,0.07,18.32,24.71,40.49,0.13,0.17,0.12,0.3,1.41,0.2,0.43,0.71,0.659,0.188,0.355,0.646,0.759,0.129,0.506,0.794,0.002,-1.98429667845827,0.211824465096801,3.78464748175337,0.362018410787303
"white_S_Freire_Projection","white","S","Projection","Freire",NA,NA,0.11,0.157875741614237,0.22,0.09,0.117578192897785,0.15,11,22.9225671357243,43,14.79,21.9939755051267,33.2,0.06,0.176340007586201,0.3,0.13,0.274925855063598,0.41,0.67,0.8327481,1,0.45,0.62,1.01,0.05,0.06,0.08,7.4,10.15,16.6,0.19,0.2,0.29,0.57,2.31,0.26,0.56,0.83,0.678,0.177,0.371,0.662,0.792,0.11,0.468,0.783,0.004,-1.86070132290975,0.173286795139986,3.06781244466543,0.342591954759272
"white_NE_Freire_Projection","white","NE","Projection","Freire",NA,NA,0.25,0.334642512954472,0.44,0.24,0.288647641927075,0.36,18,36.4649544534845,65,26.31,33.9374215238106,42.73,0.16,0.344023879238011,0.53,0.27,0.461287141958372,0.62,2.28,2.84937285,3.42,2.12,2.45,2.84,0.12,0.15,0.18,13.16,15.87,21.37,2.18,2.16,0.59,0.97,1.82,0.55,0.93,1.25,0.69,0.169,0.569,0.854,0.769,0.123,0.509,0.819,0.105,-1.10363745659486,0.141328452262515,3.53754386113301,0.322156074299473
"white_N_Freire_Projection","white","N","Projection","Freire",NA,NA,0.12,0.176012077367844,0.25,0.1,0.133766529088666,0.17,54,115.339495060962,215,81.39,114.48523256801,160.02,0.09,0.234988726815042,0.38,0.27,0.401614768209953,0.54,3.67,4.59163035,5.51,2.9,3.8,5.36,0.05,0.07,0.09,40.7,53.01,80.01,1.8,2.01,0.36,0.63,1.12,0.53,0.8,1.08,0.582,0.237,0.41,0.71,0.505,0.289,0.259,0.537,0.028,-1.75327894865999,0.18349229377005,4.67699449100418,0.347935909680655
"seabob_SE_Freire_Projection","seabob","SE","Projection","Freire",NA,NA,0.13,0.182502542812093,0.25,0.11,0.140743324462945,0.18,79,163.585706752787,302,107.31,143.917906418764,197.35,0.1,0.242439582903053,0.39,0.17,0.322313583105663,0.47,5.56,6.9529791,8.34,3.99,5.1,6.76,0.06,0.07,0.09,53.66,68.26,98.67,3.01,3.02,0.53,0.96,2.7,0.33,0.64,0.94,0.648,0.195,0.385,0.686,0.701,0.163,0.542,0.859,0.025,-1.71325759482322,0.163481616851666,5.04277781404468,0.333798959200463
"seabob_S_Freire_Projection","seabob","S","Projection","Freire",NA,NA,0.12,0.176730142358272,0.25,0.1,0.123570296057272,0.17,124,261.760477284532,496,191.89,273.697532463088,391.25,0.05,0.165702534476383,0.28,0.13,0.261029722803252,0.41,8.68,10.85289491157,13.02,6.11,8.45,12.55,0.05,0.07,0.08,95.94,128.17,195.63,2.07,2.14,0.26,0.52,2.02,0.26,0.52,0.81,0.697,0.165,0.294,0.578,0.733,0.144,0.479,0.776,0.001,-1.75327894865999,0.18349229377005,5.5142773347986,0.34640221656155
"seabob_NE_Freire_Projection","seabob","NE","Projection","Freire",NA,NA,0.15,0.222612956729187,0.32,0.16,0.205903585332135,0.28,49,105.300126082263,199,88.92,122.408863971015,161.35,0.24,0.463490048554406,0.69,0.41,0.581947690974523,0.72,4.28,5.35196887323177,6.42,4.85,6.21,8.03,0.08,0.11,0.14,44.46,55.84,80.67,6.31,6.06,0.52,0.87,1.58,0.81,1.18,1.44,0.689,0.17,0.82,0.969,0.472,0.313,0.526,0.816,0.316,-1.51827713403712,0.189421425424379,4.59239122704936,0.350553117151949
"seabob_N_Freire_Projection","seabob","N","Projection","Freire",NA,NA,0.14,0.196507416265498,0.27,0.12,0.153526762733409,0.2,41,86.9391955253641,163,61.98,86.1183810141185,118.97,0.09,0.229728385750823,0.37,0.25,0.398987982454272,0.55,3.18,3.9730416,4.77,2.53,3.31,4.62,0.06,0.08,0.1,30.99,39.96,59.48,1.56,1.6,0.36,0.61,1.14,0.5,0.8,1.1,0.695,0.166,0.413,0.724,0.609,0.219,0.257,0.555,0.018,-1.6377230881783,0.164194884097268,4.40837157069222,0.342891008895132
"pink_S_Freire_Projection","pink","S","Projection","Freire",NA,NA,0.03,0.0470200443442075,0.07,0.03,0.037749594762947,0.05,205,446.26502569083,866,332.26,515.765212486724,743.76,0.09,0.223048816590818,0.36,0.17,0.283686604968948,0.4,3.88,4.84728765,5.82,3.11,4.47,7.08,0.01,0.02,0.03,166.13,224.61,371.88,1.76,1.81,0.36,0.7,1.8,0.35,0.56,0.81,0.652,0.192,0.575,0.853,0.461,0.321,0.606,0.874,0.117,-3.08290896712638,0.211824465096801,6.04364177630418,0.359913059504585
"brown_NE_Freire_Projection","brown","NE","Projection","Freire",NA,NA,0.08,0.122757181049493,0.18,0.08,0.105746365156239,0.14,27,59.0356028086619,113,42.97,62.1012199543292,87.4,0.25,0.488241799363363,0.72,0.32,0.481216983735392,0.65,1.32,1.64496633112765,1.97,1.18,1.6,2.23,0.04,0.06,0.07,21.49,28.2,43.7,2.09,1.98,0.73,1.34,2.62,0.64,0.96,1.3,0.646,0.197,0.691,0.92,0.498,0.294,0.837,0.968,0.404,-2.12026353620009,0.202732554054082,4.00596932667549,0.360203561562646
