"specie","method","r_median","r_q025","r_q975","n_conv","n_total","r_min","r_max"
"F. subtilis","Euler",0.676723646820545,0.048158009653266,2.90083865655561,113,200,0.476723646820545,0.876723646820545
"F. subtilis","Myers",0.312440937332465,0.0297182693275884,1.0235242957442,122,200,0.112440937332465,0.512440937332465
"F. subtilis","Smith rebound",0.459745498894695,0.238536491932562,0.834669283751016,200,200,0.259745498894695,0.659745498894695
"F. subtilis","Demographic inv",0.614784250759654,0.446163304493953,0.748002121351224,200,200,0.414784250759654,0.814784250759654
"F. paulensis","Euler",0.513780045326558,0.0250716788700066,1.93547344716919,84,200,0.313780045326558,0.713780045326558
"F. paulensis","Myers",0.19768697208232,0.0169854295461375,0.898059361528649,166,200,0.01,0.39768697208232
"F. paulensis","Smith rebound",0.279485247489725,0.0771029306603819,0.590033567112041,197,200,0.0794852474897255,0.479485247489725
"F. paulensis","Demographic inv",0.465506967446352,0.258089843520183,0.651064786459404,200,200,0.265506967446352,0.665506967446352
"F. brasiliensis","Euler",0.548579824422129,0.0159329024131426,2.65745326985884,100,200,0.348579824422129,0.748579824422129
"F. brasiliensis","Myers",0.255719560135399,0.0166151441483212,1.01935600554402,150,200,0.055719560135399,0.455719560135399
"F. brasiliensis","Smith rebound",0.372965370396016,0.141619020760611,0.687008709228044,199,200,0.172965370396016,0.572965370396016
"F. brasiliensis","Demographic inv",0.557389107072333,0.316193234169895,0.686013495642372,200,200,0.357389107072333,0.757389107072333
"X. kroyeri","Euler",0.971109193365481,0.0877208708354159,3.24882417046682,152,200,0.771109193365481,1.17110919336548
"X. kroyeri","Myers",0.333187694548164,0.0415177034907631,0.958760773313011,158,200,0.133187694548164,0.533187694548164
"X. kroyeri","Smith rebound",0.468331689675357,0.188168515561215,0.803056547432659,200,200,0.268331689675357,0.668331689675357
"X. kroyeri","Demographic inv",0.592664229504503,0.389558508821371,0.722962324878121,200,200,0.392664229504503,0.792664229504503
"L. schmitti","Euler",0.689036313109544,0.0515754140602529,2.56544229655736,131,200,0.489036313109544,0.889036313109544
"L. schmitti","Myers",0.283065264948683,0.0206453327184438,1.15345073679056,152,200,0.0830652649486831,0.483065264948683
"L. schmitti","Smith rebound",0.423340367237936,0.206452434684785,0.723150995049024,199,200,0.223340367237936,0.623340367237936
"L. schmitti","Demographic inv",0.581254767395799,0.384964810450093,0.712246925321366,200,200,0.381254767395799,0.781254767395799
