"year","category","region","ct","source"
1950,"brown","N",1306.37980239167,"Silva"
1950,"brown","NE",155.160095858683,"Silva"
1950,"pink","S",1687.53672883134,"Silva"
1950,"pink","SE",470.252542196234,"Silva"
1950,"seabob","N",2221.42858162359,"Silva"
1950,"seabob","NE",1351.28158011564,"Silva"
1950,"seabob","S",1383.50744912473,"Silva"
1950,"seabob","SE",2047.85286967052,"Silva"
1950,"white","N",2637.09304078305,"Silva"
1950,"white","NE",158.461950509803,"Silva"
1950,"white","S",215.714367341074,"Silva"
1950,"white","SE",273.229457034115,"Silva"
1951,"brown","N",687.115545811601,"Silva"
1951,"brown","NE",153.872748107205,"Silva"
1951,"pink","S",1735.28287040419,"Silva"
1951,"pink","SE",332.103472588847,"Silva"
1951,"seabob","N",1975.88153151438,"Silva"
1951,"seabob","NE",2025.04213209833,"Silva"
1951,"seabob","S",2129.9515269016,"Silva"
1951,"seabob","SE",2361.23981772908,"Silva"
1951,"white","N",2362.75431180253,"Silva"
1951,"white","NE",175.700928151996,"Silva"
1951,"white","S",171.320989055161,"Silva"
1951,"white","SE",281.506625909356,"Silva"
1952,"brown","N",663.420280776761,"Silva"
1952,"brown","NE",165.961211991545,"Silva"
1952,"pink","S",2297.59152264589,"Silva"
1952,"pink","SE",526.76653088701,"Silva"
1952,"seabob","N",2075.94456942354,"Silva"
1952,"seabob","NE",2128.42611072352,"Silva"
1952,"seabob","S",2222.05332881984,"Silva"
1952,"seabob","SE",2263.75185017695,"Silva"
1952,"white","N",2468.04860643017,"Silva"
1952,"white","NE",141.844556207338,"Silva"
1952,"white","S",168.857374767246,"Silva"
1952,"white","SE",276.951652331245,"Silva"
1953,"brown","N",517.58111632224,"Silva"
1953,"brown","NE",164.514443566375,"Silva"
1953,"pink","S",1295.46028382121,"Silva"
1953,"pink","SE",439.844838885868,"Silva"
1953,"seabob","N",1467.55788353516,"Silva"
1953,"seabob","NE",1373.19868617974,"Silva"
1953,"seabob","S",1661.445150892,"Silva"
1953,"seabob","SE",2215.33503459611,"Silva"
1953,"white","N",2324.03408216781,"Silva"
1953,"white","NE",170.691689647536,"Silva"
1953,"white","S",163.600049850017,"Silva"
1953,"white","SE",258.509779568977,"Silva"
1954,"brown","N",250.89201451774,"Silva"
1954,"brown","NE",161.626879865546,"Silva"
1954,"pink","S",2153.01675411602,"Silva"
1954,"pink","SE",427.172343412973,"Silva"
1954,"seabob","N",1423.79801078127,"Silva"
1954,"seabob","NE",392.417730815593,"Silva"
1954,"seabob","S",1929.07134578913,"Silva"
1954,"seabob","SE",2393.08994037616,"Silva"
1954,"white","N",2095.51005994099,"Silva"
1954,"white","NE",127.954490196314,"Silva"
1954,"white","S",202.808993032793,"Silva"
1954,"white","SE",268.470452808319,"Silva"
1955,"brown","N",280.114186066439,"Silva"
1955,"brown","NE",170.460842665578,"Silva"
1955,"pink","S",2429.21169740863,"Silva"
1955,"pink","SE",469.284345314298,"Silva"
1955,"seabob","N",1585.48394300404,"Silva"
1955,"seabob","NE",483.227912640274,"Silva"
1955,"seabob","S",2034.5735186606,"Silva"
1955,"seabob","SE",2260.80724934377,"Silva"
1955,"white","N",2218.05114193434,"Silva"
1955,"white","NE",201.915738302512,"Silva"
1955,"white","S",228.298281138043,"Silva"
1955,"white","SE",312.842417597065,"Silva"
1956,"brown","N",1171.95951460228,"Silva"
1956,"brown","NE",122.153024657992,"Silva"
1956,"pink","S",1938.17974820164,"Silva"
1956,"pink","SE",446.429862919618,"Silva"
1956,"seabob","N",1205.18030279595,"Silva"
1956,"seabob","NE",218.52995514275,"Silva"
1956,"seabob","S",3330.70246804587,"Silva"
